realization_spec_file_name,orig_spec_file_name,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo,EW_Balmer,err_EW_Balmer_based_Robo,err_EW_Balmer_based_noise_churning
spec-0270-51909-0403g002_noise_ver_000.dat,spec-0270-51909-0403g002.dat,10.984929,2.67385,10.924209,2.249552,10.639489,1.989711,10.9982,1.8243369999999999,0.058096,827.9345559999997,12.35339436489356,2.5702234500794865,0.0
spec-0270-51909-0595g001_noise_ver_000.dat,spec-0270-51909-0595g001.dat,7.126856,2.4446060000000003,4.3477440000000005,1.740257,4.451352,1.680293,7.659664,2.123636,4.807497,0.821868,3.0989096327218366,3.6150271706285113,0.0
spec-0273-51957-0523g001_noise_ver_000.dat,spec-0273-51957-0523g001.dat,9.989371,2.157175,11.430905000000001,2.314742,9.628467,2.410133,10.755371,2.372185,2.505353,0.8170270000000001,10.841390402652626,3.2064834820141126,0.0
spec-0273-51957-0523g002_noise_ver_000.dat,spec-0273-51957-0523g002.dat,8.223428,1.9732180000000001,9.487499,2.183305,8.970941999999997,2.313073,9.385244,2.252899,2.469164,0.609714,9.858048393010431,3.1530507773022367,0.0
spec-0275-51910-0382g001_noise_ver_000.dat,spec-0275-51910-0382g001.dat,6.8695960000000005,2.063629,8.852915,2.975254,6.4286389999999995,2.2587189999999997,9.07501,2.209206,1.65375,0.477463,6.055982553476764,3.5897630485226646,0.0
spec-0275-51910-0413g001_noise_ver_000.dat,spec-0275-51910-0413g001.dat,0.032739,inf,0.101989,inf,6.290252,2.9787310000000002,12.236312,4.958257,3.653867,2.0056580000000004,5.849021980588503,4.793763627326637,0.0
spec-0275-51910-0493g001_noise_ver_000.dat,spec-0275-51910-0493g001.dat,6.514317,1.789781,7.892759,2.202252,7.1679070000000005,1.9102419999999998,7.829698,1.827798,0.008099,4880.742837,7.161572882033345,2.864300822077169,0.0
spec-0275-51910-0496g001_noise_ver_000.dat,spec-0275-51910-0496g001.dat,5.768457,2.029085,5.112792,1.245941,4.361921,1.720898,7.21402,1.878275,4.5880980000000005,1.32665,2.9651637534559363,3.7913287783484986,0.0
spec-0277-51908-0141g001_noise_ver_000.dat,spec-0277-51908-0141g001.dat,6.845022999999999,2.187439,7.914173,3.340071,6.219595,2.133221,13.714776,4.5518160000000005,4.269197,1.8335419999999998,5.743353000131048,3.4589281418825446,0.0
spec-0277-51908-0141g002_noise_ver_000.dat,spec-0277-51908-0141g002.dat,9.026545,2.592777,11.759107,3.2047,7.919372,3.705361,11.183527,4.114982,3.647675,1.675446,8.285404072141358,5.299419010167422,0.0
spec-0282-51658-0174g001_noise_ver_000.dat,spec-0282-51658-0174g001.dat,7.262579,2.336983,8.022342,2.711778,8.918027,3.115568,10.595871,4.037178,2.653457,2.212529,9.778912934373553,4.252962791402287,0.0
spec-0282-51658-0174g002_noise_ver_000.dat,spec-0282-51658-0174g002.dat,8.285978,2.001112,11.615076,2.53672,9.651996,2.506175,10.358233,2.17235,1.724795,0.706174,10.876578500663918,3.331197778321302,0.0
spec-0282-51658-0208g001_noise_ver_000.dat,spec-0282-51658-0208g001.dat,11.589416,2.372204,12.61892,2.937045,11.97056,2.1528959999999997,12.399564999999999,2.402792,2.202666,0.883969,14.344038115498398,2.6951333840809517,0.0
spec-0282-51658-0208g003_noise_ver_000.dat,spec-0282-51658-0208g003.dat,6.9882990000000005,1.8983299999999999,7.946994,1.881241,7.6431580000000015,1.803148,7.542731,2.113918,3.005965,0.603891,7.872320417753603,2.623684468312207,0.0
spec-0283-51959-0396g001_noise_ver_000.dat,spec-0283-51959-0396g001.dat,3.950382,1.449656,4.997567,1.425426,4.071154,1.4530379999999998,7.207062,1.7253580000000002,5.8479550000000025,1.946769,2.5303157916025745,3.503074288158468,0.0
spec-0285-51930-0327g001_noise_ver_000.dat,spec-0285-51930-0327g001.dat,9.231361999999999,2.629682,9.121972999999999,2.650145,7.5611070000000025,2.3410189999999997,9.2794,2.917928,2.656155,0.9310309999999999,7.749611478575393,3.4201098076151335,0.0
spec-0285-51930-0532g001_noise_ver_000.dat,spec-0285-51930-0532g001.dat,6.932805999999999,1.9716779999999998,7.755352999999999,1.901493,8.04815,2.350207,8.769200999999999,2.619118,3.118505,0.995239,8.477994190110559,3.3410376439225784,0.0
spec-0287-52023-0594g001_noise_ver_000.dat,spec-0287-52023-0594g001.dat,10.364849000000001,2.570481,5.900683,2.213531,7.451347,2.419833,7.728405,2.198763,5.104376,1.730315,7.585463166376879,3.5589667751140928,0.0
,,,,,,,,,,,,,,
spec-0288-52000-0025g002_noise_ver_000.dat,spec-0288-52000-0025g002.dat,6.6124,2.969184,5.399332,2.501426,8.101622,3.522518,11.086616000000001,3.84001,0.28720100000000004,1.4794690000000001,8.557962653575203,4.990084619744106,0.0
spec-0288-52000-0577g001_noise_ver_000.dat,spec-0288-52000-0577g001.dat,6.074719,1.9500439999999999,6.4492,1.880223,6.312012999999999,1.802244,7.242457000000001,2.490128,3.073688,0.589394,5.881565998643818,2.8974456647599105,0.0
spec-0289-51990-0532g001_noise_ver_000.dat,spec-0289-51990-0532g001.dat,6.1538910000000016,2.193964,5.62865,1.860711,6.403894,2.391769,6.9336649999999995,2.711013,4.279057,1.1525530000000002,6.018975902735583,3.8094009156801674,0.0
spec-0289-51990-0532g002_noise_ver_000.dat,spec-0289-51990-0532g002.dat,4.403677,1.777471,5.467232,1.870011,5.6716370000000005,1.6349420000000001,7.078226,2.884872,4.92473,1.7256080000000005,4.9238706672623085,2.82165562860395,0.0
spec-0292-51609-0220g001_noise_ver_000.dat,spec-0292-51609-0220g001.dat,6.8457050000000015,2.1147299999999998,8.513246,2.3709860000000003,7.618991,1.595673,9.005985,2.4397830000000003,2.667442,1.623242,7.8361781777672554,2.3264614189195862,0.0
spec-0292-51609-0220g002_noise_ver_000.dat,spec-0292-51609-0220g002.dat,7.781696000000001,2.37109,10.740044000000001,2.561645,9.11074,2.27818,11.357344,3.014025,3.040336,1.739625,10.067119145094324,3.0886606379119885,0.0
spec-0292-51609-0470g001_noise_ver_000.dat,spec-0292-51609-0470g001.dat,4.136998999999999,1.625766,3.207977,1.524041,3.734569,1.3887180000000001,6.097171,1.8698849999999998,4.765005,1.3109600000000001,2.0269460789446256,3.834379722343277,0.0
,,,,,,,,,,,,,,
spec-0293-51689-0138g001_noise_ver_000.dat,spec-0293-51689-0138g001.dat,4.3469430000000004,1.8241049999999999,4.578463,1.8363169999999998,4.957685,1.6447509999999999,6.35818,2.298807,2.540149,1.103357,3.856140931559387,3.1676755828664764,0.0
spec-0293-51689-0138g002_noise_ver_000.dat,spec-0293-51689-0138g002.dat,4.496378,1.88768,4.992271,1.414173,5.392915,2.205485,7.279435,2.189562,3.299386,1.3774540000000002,4.507036247869143,3.9505303681817687,0.0
spec-0293-51689-0320g001_noise_ver_000.dat,spec-0293-51689-0320g001.dat,8.179229,2.217403,10.716038000000001,2.051351,10.261251,2.2427349999999997,8.837582000000003,1.8107389999999999,2.1158349999999997,0.454071,11.787731743634989,2.9259623224450886,0.0
spec-0293-51689-0320g002_noise_ver_000.dat,spec-0293-51689-0320g002.dat,7.803961,2.112397,9.771855,2.226607,9.486352,2.237566,8.657688,1.9179689999999998,2.2945029999999997,0.997634,10.628854529947713,2.9922661315708607,0.0
spec-0293-51689-0553g001_noise_ver_000.dat,spec-0293-51689-0553g001.dat,10.551848,2.284436,12.510795,2.807989,11.123717,2.303841,11.426482,2.0829560000000003,1.209851,0.253103,13.077567186679836,2.937512314024296,0.0
spec-0293-51689-0553g002_noise_ver_000.dat,spec-0293-51689-0553g002.dat,11.699561,2.857863,12.742725,2.586625,11.516042,2.213993,11.805572,2.2496080000000003,1.124689,0.288433,13.664297202926937,2.7980138762803923,0.0
