orig_spec_file_name,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo,EW_Balmer,err_EW_Balmer_based_Robo,err_EW_Balmer_based_noise_churning,err_EW_Hbeta_based_noise_churning,err_EW_Hdelta_based_noise_churning,err_EW_Hgamma_based_noise_churning,err_EW_Heps_based_noise_churning,err_EW_CaIIK_based_noise_churning,subtype,phase,feh,err_feh,teff,logg,alpha
575020m05.smo,4.751389,2.120506,2.580854,1.182285,2.9195585,1.5181095,16.869068,6.2054325,14.733304,7.205439999999999,2.75020625,2.052203905363625,0.08690299823105584,0.7470168908406206,0.4259945546849748,0.28090889358684873,4.86389112890155,1.6358496825841768,,,-0.5,0.15,5750,2.0,0.4
575020m10.smo,4.056877,1.9788685000000001,2.7413235,1.3597195,3.135465,1.4982905,10.4790345,1.6290675,15.412208499999998,3.1584025,3.03613825,2.1811955633365843,0.36941690278010414,0.7768631578713899,0.4650027201627361,0.6718796130868573,468.11445181881163,1.3255179564761321,,,-1.0,0.15,5750,2.0,0.4
575020m15.smo,3.746289,1.871038,2.925552,1.370731,3.218013,1.511651,7.316772999999999,1.7921919999999998,8.940735,2.25385,3.0954575,2.1711559382029657,0.4193900044588252,0.8346965913973232,0.4617247452104988,0.6665752919237775,0.3620479277461548,0.6181969157980195,,,-1.5,0.15,5750,2.0,0.4
575020m20.smo,3.4206449999999995,1.739852,3.1441060000000003,1.381827,3.15425,1.572336,5.572762,1.739502,5.399654,1.7065720000000002,3.1777355,2.2009427983527883,0.4357050555647729,0.7007310611300486,0.6121423148503523,0.6153351097963262,0.8559937208868726,0.4110097914525178,,,-2.0,0.15,5750,2.0,0.4
575020m25.smo,3.5110464999999995,1.7008134999999998,3.2021505,1.458279,3.2030055,1.524019,4.677359500000001,1.908668,3.5962690000000004,1.4249049999999999,3.2694794999999996,2.142513658794619,0.3970598171488645,0.8190049551337542,0.5214391107613947,0.6419313885523605,0.4880590064813612,0.6141868329052939,,,-2.5,0.15,5750,2.0,0.4
575020p00.smo,6.190815,2.547805,2.469854,1.1026790000000002,3.08644,1.504556,16.118145000000002,2.35625,15.754359,41.648799,2.778147,1.8544516412710792,0.19936938902212556,0.3681644233446066,0.0749314679171722,0.3249074687787621,9.713385343774412,1.3970550556125791,,,0.0,0.15,5750,2.0,0.4
575025m05.smo,5.005643,2.305328,2.33448,1.290292,3.02483,1.849787,11.160912,1.540041,16.093659,2.697461,2.650404,2.2730428688192403,0.4828764541673321,0.9139190709157178,0.41763069654530377,0.7855697777774523,0.4555453467564149,1.2261207674241443,,,-0.5,0.15,5750,2.5,0.4
575025m10.smo,3.8224660000000004,1.983587,2.6017195,1.3837320000000002,2.910668,1.522842,9.746882500000002,1.6666385,14.1563665,3.0867635,2.77426175,2.1159447199729993,0.3538719446798609,0.834693469371866,0.3982819218892259,0.507847937860511,3.1574484641008103,1.4951128329456849,,,-1.0,0.15,5750,2.5,0.4
575025m15.smo,3.6305080000000003,1.838332,2.771763,1.3712535,3.053197,1.4592575,6.9813965,1.859936,8.500454000000001,2.289965,2.9565710000000003,2.0913061838458593,0.3489259838382623,0.9515133832557992,0.43414374638826897,0.49165664248988794,0.6339903730411532,0.9410444847317608,,,-1.5,0.15,5750,2.5,0.4
575025m20.smo,3.351454,1.805305,2.862457,1.430651,2.966876,1.499181,5.317694,1.968666,5.319679,1.793016,2.9124160000000003,2.1200008979111304,0.31976582522190744,0.7614190837615402,0.3718185159958154,0.5623346731234173,0.8896557791629411,0.4711249381307922,,,-2.0,0.15,5750,2.5,0.4
